iter	Passed	Remaining
0	136	135907
1	138	69178
2	141	46861
3	143	35846
4	146	29124
5	149	24736
6	151	21562
7	154	19127
8	156	17241
9	158	15725
10	161	14488
11	164	13529
12	166	12647
13	168	11886
14	171	11250
15	173	10669
16	176	10188
17	178	9760
18	181	9350
19	182	8955
20	184	8595
21	185	8265
22	187	7958
23	188	7673
24	190	7413
25	191	7182
26	193	6970
27	195	6778
28	196	6571
29	197	6379
30	198	6204
31	199	6041
32	200	5883
33	201	5734
34	202	5590
35	203	5453
36	204	5322
37	205	5202
38	207	5104
39	208	5004
40	209	4901
41	210	4801
42	211	4707
43	212	4617
44	213	4526
45	214	4438
46	214	4356
47	215	4276
48	216	4198
49	217	4130
50	218	4064
51	219	3997
52	220	3934
53	221	3872
54	222	3815
55	223	3771
56	224	3715
57	225	3661
58	226	3608
59	227	3557
60	227	3506
61	228	3458
62	229	3410
63	230	3367
64	231	3325
65	232	3285
66	232	3244
67	233	3204
68	234	3165
69	235	3129
70	236	3098
71	237	3066
72	238	3030
73	239	2996
74	240	2962
75	240	2929
76	242	2901
77	242	2871
78	243	2840
79	244	2811
80	245	2783
81	246	2754
82	246	2723
83	247	2696
84	248	2672
85	249	2649
86	250	2625
87	251	2603
88	252	2581
89	252	2557
90	253	2535
91	254	2514
92	255	2492
93	256	2471
94	257	2450
95	258	2430
96	258	2410
97	259	2392
98	260	2374
99	261	2356
100	262	2340
101	264	2324
102	265	2309
103	266	2294
104	267	2280
105	268	2263
106	269	2246
107	270	2231
108	271	2216
109	272	2203
110	273	2189
111	274	2172
112	274	2157
113	275	2143
114	276	2129
115	277	2115
116	278	2100
117	279	2091
118	281	2081
119	282	2070
120	283	2057
121	283	2042
122	284	2030
123	285	2018
124	286	2005
125	287	1992
126	287	1978
127	288	1965
128	289	1953
129	289	1940
130	290	1927
131	291	1915
132	292	1903
133	292	1891
134	293	1881
135	294	1871
136	295	1863
137	296	1853
138	297	1843
139	298	1832
140	299	1821
141	299	1810
142	300	1799
143	301	1789
